price_tag,price,org_price
Audi_A6_2015_3.0,49900,58600
Audi_A6_2015_2.0,39950,47600
Audi_A6_2014_3.0,45000,58600
Audi_A6_2014_2.0,54000,47600
Audi_A6_2013_3.0,45777,58600
Audi_A6_2013_2.0,51497,47600
Audi_A6_2012_3.2,24995,49900
Audi_A6_2012_3.0,56220,58600
Audi_A6_2012_2.0,24500,41700
Audi_A6_2011_4.2,23881,60950
Audi_A6_2011_3.2,21852,45200
Audi_A6_2011_3.0,31990,50200
Audi_A6_2010_4.2,16900,60950
Audi_A6_2010_3.2,16999,45200
Audi_A6_2010_3.0,39995,50200
Audi_A6_2009_4.2,21995,60950
Audi_A6_2009_3.2,11500,45200
Audi_A6_2009_3.0,21900,50100
Audi_A6_2008_4.2,13722,60950
Audi_A6_2008_3.2,18996,45200
Audi_A6_2007_4.2,10896,60950
Audi_A6_2007_3.2,37980,45200
Audi_A6_2006_4.2,11490,60950
Audi_A6_2006_3.2,14995,45200
Audi_A6_2005_4.2,12576,60950
Audi_A6_2005_3.2,12877,45200
Audi_A6_2004_4.2,3901,60950
Audi_A6_2004_3.0,9977,60950
Audi_A6_2004_2.7,7777,40850
Audi_A6_2003_4.2,7950,60950
Audi_A6_2003_3.0,44999,60950
Audi_A6_2003_2.7,5995,40850
Audi_A6_2002_4.2,6499,60950
Audi_A6_2002_3.0,11995,60950
Audi_A6_2002_2.7,7995,40850
Audi_A6_2001_4.2,3995,60950
Audi_A6_2001_2.8,7999,34400
Audi_A6_2001_2.7,6000,40850
Audi_A6_2000_4.2,3990,60950
Audi_A6_2000_2.8,4982,34400
Audi_A6_2000_2.7,29992,40850
Audi_A6_1999_2.8,5795,34400
Audi_A6_1996_2.8,3294,34400
Audi_A6_1995_2.8,15977,34400
Audi_A4_2017_2.0,51989,37000
Audi_A4_2016_2.0,41995,37000
Audi_A4_2015_2.0,44310,37000
Audi_A4_2014_2.0,45485,37000
Audi_A4_2013_2.0,29999,37000
Audi_A4_2012_2.0,42995,37000
Audi_A4_2011_2.0,21586,37000
Audi_A4_2010_2.0,26995,37000
Audi_A4_2009_3.2,16995,43300
Audi_A4_2009_2.0,21988,31000
Audi_A4_2008_3.2,14995,43300
Audi_A4_2008_2.0,28989,31000
Audi_A4_2007_3.2,13990,43300
Audi_A4_2007_2.0,38980,31000
Audi_A4_2006_3.2,10995,43300
Audi_A4_2006_3.0,13995,31940
Audi_A4_2006_2.0,12991,27640
Audi_A4_2006_1.8,14495,27640
Audi_A4_2005_3.2,9999,35400
Audi_A4_2005_3.0,13995,35400
Audi_A4_2005_2.0,10996,27350
Audi_A4_2005_1.8,9000,27350
Audi_A4_2004_3.0,9495,35400
Audi_A4_2004_1.8,12995,27350
Audi_A4_2003_3.0,6995,35400
Audi_A4_2003_1.8,9995,27350
Audi_A4_2002_3.0,7999,35400
Audi_A4_2002_1.8,8995,24540
Audi_A4_2001_2.8,4990,31990
Audi_A4_2001_1.8,5977,24540
Audi_A4_2000_2.8,2999,31990
Audi_A4_2000_1.8,2999,24540
Audi_A4_1999_1.8,1993,24540
Audi_A4_1998_2.8,6300,31990
Audi_A4_1998_1.8,4695,24540
Audi_A4_1997_2.8,4999,31990
Audi_A4_1996_2.8,4995,31990
Acura_TLX_2017_3.5,42540,35350
Acura_TLX_2017_2.4,38995,31900
Acura_TLX_2016_3.5,42600,35350
Acura_TLX_2016_2.4,40660,31900
Acura_TLX_2015_3.5,41000,35350
Acura_TLX_2015_2.4,43520,31900
Acura_RLX_2017_3.5,54450,48450
Acura_RLX_2016_3.5,49070,48450
Acura_RLX_2015_3.5,35999,48450
Acura_RLX_2014_3.5,34985,48450
Acura_ILX_2017_2.7,33930,32990
Acura_ILX_2017_2.4,33930,27990
Acura_ILX_2016_2.4,33995,27990
Acura_ILX_2015_2.4,22989,27990
Acura_ILX_2015_2.0,29995,27050
Acura_ILX_2014_2.4,19999,27990
Acura_ILX_2014_2.0,24699,27050
Acura_ILX_2013_2.4,18999,27990
Acura_ILX_2013_2.0,24500,27050
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
